attention_type,seed,test_loss,test_accuracy,test_f1_macro,best_val_f1,trainable_parameters,wall_time_sec
single_head,42,0.3063103103010278,0.8952631578947369,0.8950091364648973,0.8959528630417963,4105476,73.39189105300011
single_head,123,0.3242114321809066,0.8861842105263158,0.8863903179605876,0.8872524338634538,4105476,75.51979951800058
single_head,777,0.3093085913909109,0.8925,0.8921847524242668,0.8956275800041591,4105476,74.9992551839996
multihead,42,0.3001938687500201,0.8946052631578948,0.8940453991639108,0.8971320021004061,4105476,98.76137824699981
multihead,123,0.3158716741361116,0.8885526315789474,0.8887951353403328,0.8904042173505367,4105476,98.78630746199997
multihead,777,0.3078665697574616,0.8919736842105264,0.8918869079784766,0.8958121085948919,4105476,98.58289274599974
local,42,0.3202377001862777,0.8907894736842106,0.8902743349966127,0.8934921053698462,4105476,99.89708320599948
local,123,0.32830360054969787,0.8848684210526315,0.8846506954891081,0.8879220992834242,4105476,100.09060010799931
local,777,0.32300976734412346,0.888421052631579,0.888130662579515,0.8910137567466514,4105476,99.86888511100005
additive,42,0.31664873744312083,0.8927631578947368,0.8925230960151543,0.8878200174950194,4138756,765.9997797730002
additive,123,0.31717652534183705,0.8923684210526316,0.8922886725721952,0.8888779631581801,4138756,766.4215385769994
additive,777,0.31571705862095484,0.8886842105263157,0.8885373881042783,0.8939320112395361,4138756,767.5896002640002
